Num,Q,A
1,인공지능 소프트웨어과 모집일정 입시요강을 알려주세요.,2년제 학위과정의 경우 수시1차는 2026년 9월 7일부터 2026년 10월 1일까지 입니다. 수시2차는 2026년 11월 11일부터 11월 27일까지 입니다. 그리고 정시모집은 2026년 1월 4일부터 1월 22일 까지입니다. 자세한 사항은 https://www.kopo.ac.kr/jungsu/content.do?menu=221 또는 02-2001-4115(입학담당자)를 통해 정보를 얻을 수 있습니다.
2,원서 접수 방법에 대해 알려주세요.,"2년제 학위과정 모집요강은 https://www.kopo.ac.kr/jungsu/content.do?menu=221 를 참고해주시고, 원서접수는 한국폴리텍대학 서울정수캠퍼스 홈페이지(https://www.kopo.ac.kr/jungsu) 내 상단 메뉴의 입학안내->원서접수를 참고해주세요."
3,2년제 학위과정 대해 설명해 주세요,"한국폴리텍대학 서울정수캠퍼스 인공지능소프트웨어과는 응용소프트웨어와 웹·앱 개발에 필요한 파이썬, 자바계열, C/C++ 과 같은 주요 프로그래밍 언어를 효과적으로 활용하는 능력과 자료구조와 알고리즘 등의 기초 이론, 인공지능을 이해하고 활용하기 위한 지식을 기반으로 인공지능·웹 응용소프트웨어 인력을 양성하는 학과입니다. 2년동안 학업을 진행하고 2년제 산업학사 학위가 수여됩니다."
4,하이테크 과정에 대해 설명해 주세요,"하이테크과정은 취업을 희망하는 2년제 대학 이상 졸업(예정)자 또는 4년제 대학의 2년 이상 수료(예정)자, 산업기사 이상 자격증 소지자 지원이 가능한 과정으로  만 39세까지 지원이 가능하며, 고등학교 성적이나 수능성적이 필요없습니다. 한국폴리텍대학 서울정수캠퍼스 인공지능소프트웨어과에서는 1년과정으로 응용소프트웨어와 웹·앱 개발에 필요한 파이썬, 자바계열, C/C++ 과 같은 주요 프로그래밍 언어를 효과적으로 활용하는 능력과 자료구조와 알고리즘 등의 기초 이론, 인공지능을 이해하고 활용하기 위한 지식을 기반으로 인공지능·웹 응용소프트웨어 인력을 양성하는 학과입니다."
5,2년제 학위과정과 1년 하이테크과정 차이는 뭔가요?,2년제는 등록금을 납부하고 졸업시 산업학사(전문학사)를 취득합니다. 반면에 하이테크과정은 국비과정으로 별도의 등록금이 없으며 자격요건을 갖추면 매달 교통비와 식대 등이 지급되며 1년과정을 마치시면 졸업장이 아닌 수료증이 발급됩니다.
6,2년제 학위과정의 입학 요건이 알고 싶어요,2년제 학위과정의 입학 요건은 고등학교 졸업자 또는 예정자와 동등이상의 학력이 있는 자로서 자세한 사항은  https://www.kopo.ac.kr/jungsu/content.do?menu=221 모집요강 내 전형별 지원자격을 통해 확인할 수 있습니다.
7,하이테크 과정의 입학 요건이 알고 싶어요,"하이테크과정은 취업을 희망하는 2년제 대학 이상 졸업(예정)자 또는 4년제 대학의 2년 이상 수료(예정)자, 산업기사 이상 자격증 소지자 지원이 가능한 과정으로  만 39세까지 지원이 가능하며, 고등학교 성적이나 수능성적이 필요없습니다. 입학요건에 관련해서는 02-2001-4115(입학담당자)를 통해 자세히 확인할 수 있습니다."
8,기숙사 희망시 가능한가요?,"기숙사는 원거리에 있는 학생들을 우선으로 배정하기에, 입실 여부는 추후 확인이 필요합니다."
9,2년제 학위과정 최저 등급이 어떻게 되나요?,전년도 입시결과는 https://www.kopo.ac.kr/jungsu/board.do?menu=14306 를 통해 확인할 수 있습니다.
10,과정별 경쟁률이 어느정도 되나요?,전년도 입시결과는 https://www.kopo.ac.kr/jungsu/board.do?menu=14306 를 통해 확인할 수 있습니다.
